familyName,givenName,gender,affiliatedTo,dbpediaURI,yagoURI
Dixon,Julian,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Democratic_Party_(United_States),http://dbpedia.org/resource/Julian_C._Dixon,http://yago-knowledge.org/resource/Julian_C._Dixon
Bilandic,Michael,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Democratic_Party_(United_States),http://dbpedia.org/resource/Michael_Anthony_Bilandic,http://yago-knowledge.org/resource/Michael_Anthony_Bilandic
Glendening,Parris,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Democratic_Party_(United_States),http://dbpedia.org/resource/Parris_Glendening,http://yago-knowledge.org/resource/Parris_Glendening
Arcuri,Mike,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Democratic_Party_(United_States),http://dbpedia.org/resource/Mike_Arcuri,http://yago-knowledge.org/resource/Mike_Arcuri
Leach,Buddy,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Democratic_Party_(United_States),http://dbpedia.org/resource/Buddy_Leach,http://yago-knowledge.org/resource/Buddy_Leach
Johnson,Jay,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Democratic_Party_(United_States),http://dbpedia.org/resource/Jay_W._Johnson,http://yago-knowledge.org/resource/Jay_W._Johnson
Ravenstahl,Luke,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Democratic_Party_(United_States),http://dbpedia.org/resource/Luke_Ravenstahl,http://yago-knowledge.org/resource/Luke_Ravenstahl
Morrison,Paul,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Democratic_Party_(United_States),http://dbpedia.org/resource/Paul_J._Morrison,http://yago-knowledge.org/resource/Paul_J._Morrison
Furse,Elizabeth,http://yago-knowledge.org/resource/female,http://yago-knowledge.org/resource/Democratic_Party_(United_States),http://dbpedia.org/resource/Elizabeth_Furse,http://yago-knowledge.org/resource/Elizabeth_Furse
Randolph,Scott,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Democratic_Party_(United_States),http://dbpedia.org/resource/Scott_Randolph,http://yago-knowledge.org/resource/Scott_Randolph
Krysiak,Carolyn,http://yago-knowledge.org/resource/female,http://yago-knowledge.org/resource/Democratic_Party_(United_States),http://dbpedia.org/resource/Carolyn_J._Krysiak,http://yago-knowledge.org/resource/Carolyn_J._Krysiak
Hunt,Dave,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Democratic_Party_(United_States),http://dbpedia.org/resource/Dave_Hunt_(Oregon_politician),http://yago-knowledge.org/resource/Dave_Hunt_(Oregon_politician)
Stukes,Melvin,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Democratic_Party_(United_States),http://dbpedia.org/resource/Melvin_L._Stukes,http://yago-knowledge.org/resource/Melvin_L._Stukes
Weir,Michael,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Democratic_Party_(United_States),"http://dbpedia.org/resource/Michael_H._Weir,_Jr.","http://yago-knowledge.org/resource/Michael_H._Weir,_Jr."
Hammen,Peter,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Democratic_Party_(United_States),http://dbpedia.org/resource/Peter_A._Hammen,http://yago-knowledge.org/resource/Peter_A._Hammen
Branch,Talmadge,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Democratic_Party_(United_States),http://dbpedia.org/resource/Talmadge_Branch,http://yago-knowledge.org/resource/Talmadge_Branch
McHale,Brian,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Democratic_Party_(United_States),http://dbpedia.org/resource/Brian_K._McHale,http://yago-knowledge.org/resource/Brian_K._McHale
Ruggiero,Deb,http://yago-knowledge.org/resource/female,http://yago-knowledge.org/resource/Democratic_Party_(United_States),http://dbpedia.org/resource/Deb_Ruggiero,http://yago-knowledge.org/resource/Deb_Ruggiero
Skrepenak,Greg,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Democratic_Party_(United_States),http://dbpedia.org/resource/Greg_Skrepenak,http://yago-knowledge.org/resource/Greg_Skrepenak
Kissell,Larry,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Democratic_Party_(United_States),http://dbpedia.org/resource/Larry_Kissell,http://yago-knowledge.org/resource/Larry_Kissell
Preckwinkle,Toni,http://yago-knowledge.org/resource/female,http://yago-knowledge.org/resource/Democratic_Party_(United_States),http://dbpedia.org/resource/Toni_Preckwinkle,http://yago-knowledge.org/resource/Toni_Preckwinkle
Williams,Jay,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Democratic_Party_(United_States),http://dbpedia.org/resource/Jay_Williams_(politician),http://yago-knowledge.org/resource/Jay_Williams_(politician)
Ward,Mike,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Democratic_Party_(United_States),http://dbpedia.org/resource/Mike_Ward_(American_politician),http://yago-knowledge.org/resource/Mike_Ward_(American_politician)
Yaroslavsky,Zev,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Democratic_Party_(United_States),http://dbpedia.org/resource/Zev_Yaroslavsky,http://yago-knowledge.org/resource/Zev_Yaroslavsky
Peterson,Bart,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Democratic_Party_(United_States),http://dbpedia.org/resource/Bart_Peterson,http://yago-knowledge.org/resource/Bart_Peterson
Poshard,Glenn,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Democratic_Party_(United_States),http://dbpedia.org/resource/Glenn_Poshard,http://yago-knowledge.org/resource/Glenn_Poshard
Sarbanes,John,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Democratic_Party_(United_States),http://dbpedia.org/resource/John_Sarbanes,http://yago-knowledge.org/resource/John_Sarbanes
Callahan,John,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Democratic_Party_(United_States),http://dbpedia.org/resource/John_B._Callahan,http://yago-knowledge.org/resource/John_B._Callahan
Kilroy,Mary,http://yago-knowledge.org/resource/female,http://yago-knowledge.org/resource/Democratic_Party_(United_States),http://dbpedia.org/resource/Mary_Jo_Kilroy,http://yago-knowledge.org/resource/Mary_Jo_Kilroy
Fulop,Steven,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Democratic_Party_(United_States),http://dbpedia.org/resource/Steven_Fulop,http://yago-knowledge.org/resource/Steven_Fulop
McCurdy,Dave,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Democratic_Party_(United_States),http://dbpedia.org/resource/Dave_McCurdy,http://yago-knowledge.org/resource/Dave_McCurdy
Davlin,Timothy,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Democratic_Party_(United_States),http://dbpedia.org/resource/Timothy_Davlin,http://yago-knowledge.org/resource/Timothy_Davlin
Massa,Eric,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Democratic_Party_(United_States),http://dbpedia.org/resource/Eric_Massa,http://yago-knowledge.org/resource/Eric_Massa
Cohen,Ellen,http://yago-knowledge.org/resource/female,http://yago-knowledge.org/resource/Democratic_Party_(United_States),http://dbpedia.org/resource/Ellen_Cohen,http://yago-knowledge.org/resource/Ellen_Cohen
Jackson,Frank,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Democratic_Party_(United_States),http://dbpedia.org/resource/Frank_G._Jackson,http://yago-knowledge.org/resource/Frank_G._Jackson
Frick,William,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Democratic_Party_(United_States),http://dbpedia.org/resource/William_Frick,http://yago-knowledge.org/resource/William_Frick
Gabryszak,Dennis,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Democratic_Party_(United_States),http://dbpedia.org/resource/Dennis_Gabryszak,http://yago-knowledge.org/resource/Dennis_Gabryszak
Gramm,Phil,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Democratic_Party_(United_States),http://dbpedia.org/resource/Phil_Gramm,http://yago-knowledge.org/resource/Phil_Gramm
Rice,Craig,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Democratic_Party_(United_States),http://dbpedia.org/resource/Craig_L._Rice,http://yago-knowledge.org/resource/Craig_L._Rice
Guzzone,Guy,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Democratic_Party_(United_States),http://dbpedia.org/resource/Guy_Guzzone,http://yago-knowledge.org/resource/Guy_Guzzone
